date,source,medium,campaign,sessions,users,new_users,bounce_rate,avg_session_duration_sec,goal_completions,goal_value_cop
2026-04-05,linkedin,paid,pymes-linkedin-sponsored-q2,128,122,108,0.39,228,9,2400000
2026-04-05,google,cpc,fe-google-searchintent-2026q2,348,322,202,0.31,198,30,4100000
2026-04-12,facebook,paid,nomina-meta-contadores-2026q2,892,842,758,0.62,68,24,2900000
2026-04-12,facebook,paid,pos-meta-lookalikeclientes-q2,2348,2248,2102,0.69,56,19,800000
2026-04-12,linkedin,paid,restobar-linkedin-duenosurbanos-q2,184,178,162,0.48,184,8,1700000
2026-04-12,email,newsletter,enterprise-email-cfostop100-q2,18,18,2,0.18,412,8,2800000
2026-04-12,google,organic,(not set),1442,1342,684,0.40,236,52,7400000
2026-04-18,facebook,paid,pos-meta-lookalikeclientes-q2,2412,2308,2148,0.71,52,17,600000
2026-04-18,linkedin,paid,restobar-linkedin-duenosurbanos-q2,142,138,128,0.51,168,5,1100000
2026-04-18,whatsapp,referral,fe-whatsapp-retargetingq2,162,154,98,0.25,344,42,5600000
2026-04-18,facebook,paid,nomina-meta-contadores-2026q2,948,892,802,0.61,72,28,3200000
2026-04-18,google,cpc,fe-google-searchintent-2026q2,372,344,218,0.30,202,32,4400000
2026-04-25,facebook,paid,pos-meta-lookalikeclientes-q2,2484,2384,2228,0.73,48,14,500000
2026-04-25,linkedin,paid,restobar-linkedin-duenosurbanos-q2,118,114,108,0.54,152,3,700000
2026-04-25,facebook,paid,lia-launch-meta-2026q2,1782,1682,1612,0.78,44,18,700000
2026-04-25,email,newsletter,enterprise-email-cfostop100-q2,22,22,3,0.16,438,9,3100000
2026-04-25,google,organic,(not set),1482,1378,712,0.41,238,54,7600000
2026-05-02,facebook,paid,pos-meta-lookalikeclientes-q2,2548,2448,2298,0.74,46,12,400000
2026-05-02,linkedin,paid,restobar-linkedin-duenosurbanos-q2,98,94,88,0.56,142,2,500000
2026-05-02,whatsapp,referral,fe-whatsapp-retargetingq2,182,172,108,0.24,348,44,5800000
2026-05-02,google,cpc,fe-google-searchintent-2026q2,388,358,228,0.29,208,34,4700000
2026-05-02,facebook,paid,nomina-meta-contadores-2026q2,984,924,818,0.60,74,29,3300000
2026-05-08,linkedin,paid,pymes-linkedin-sponsored-q2,148,142,124,0.38,232,10,2800000
2026-05-08,facebook,paid,lia-launch-meta-2026q2,1842,1742,1672,0.79,42,17,600000
2026-05-08,google,organic,(not set),1518,1418,728,0.40,242,58,8200000
2026-05-08,(direct),(none),(not set),682,628,322,0.43,198,26,3800000
2026-05-08,email,newsletter,pymes-email-reactivacioninactivosq2,112,108,14,0.32,234,13,1900000
